Employee Code,Employee Name,PAN,PF Account No (UAN),Department,Designation,Date of Joining,Bank Account No,IFSC Code,Basic Salary (INR),HRA (INR),Conveyance Allowance (INR),Special Allowance (INR),Gross Salary (INR),PF Employee (12%) (INR),ESI Employee (0.75%) (INR),Professional Tax (INR),TDS (INR),Total Deductions (INR),Net Salary Payable (INR),PF Employer (12%) (INR),ESI Employer (3.25%) (INR),Total CTC (INR),Status
EMP020,Rahul Rao,RPWGF5449H,375890163717,Sales,Regional Manager,10-Feb-2020,49041847532,HDFC0002345,"76,000","30,400","1,600","11,000","119,000","1,800",0,200,"14,327","16,327","102,673","1,800",0,"120,800",Active
EMP021,Mukesh Desai,NPJQD5267Q,642379917431,Sales,Regional Manager,11-Jul-2023,90710406506,SBIN0001234,"84,000","33,600","1,600","12,700","131,900","1,800",0,200,"18,197","20,197","111,703","1,800",0,"133,700",On Leave
EMP022,Mohan Agarwal,VWPHQ4256C,512151563586,Sales,Sales Manager,23-Jul-2023,17908118380,HDFC0002345,"62,000","24,800","1,600","10,300","98,700","1,800",0,200,"8,963","10,963","87,737","1,800",0,"100,500",Active
EMP023,Geeta Agarwal,NDOJK4355T,899878547654,Sales,Sales Manager,25-Feb-2022,03467259931,HDFC0002345,"65,000","26,000","1,600","6,600","99,200","1,800",0,200,"9,063","11,063","88,137","1,800",0,"101,000",Active
EMP024,Manish Sharma,PIXXN0266M,062698899644,Sales,Sales Executive,31-May-2019,36771808147,SBIN0001234,"34,000","13,600","1,600","7,800","57,000","1,800",0,200,"1,718","3,718","53,282","1,800",0,"58,800",Active
EMP025,Manish Dubey,PAVWI7959Q,064601712106,Sales,Sales Executive,01-Dec-2023,17802335654,UTIB0004567,"33,000","13,200","1,600","3,700","51,500","1,800",0,200,"1,443","3,443","48,057","1,800",0,"53,300",Active
EMP026,Deepika Rao,PZTUF3072V,691710711321,Sales,Sales Executive,25-Jun-2020,92403375861,HDFC0002345,"40,000","16,000","1,600","7,500","65,100","1,800",0,200,"2,243","4,243","60,857","1,800",0,"66,900",Active
EMP027,Archana Kumar,ZLQRH3957I,072401611533,Sales,Sales Executive,17-Aug-2018,76804361934,ICIC0003456,"33,000","13,200","1,600","3,400","51,200","1,800",0,200,"1,428","3,428","47,772","1,800",0,"53,000",Active
EMP028,Bharat Pandey,STMGS6440H,795479405989,Sales,Sales Trainee,15-Feb-2024,95167007133,HDFC0002345,"18,000","7,200","1,600","3,600","30,400","1,800",0,200,388,"2,388","28,012","1,800",0,"32,200",Active
EMP029,Deepika Agarwal,HEWLS1570F,346696877017,Sales,Sales Trainee,29-Sep-2019,78874304752,UTIB0004567,"19,000","7,600","1,600","4,100","32,300","1,800",0,200,483,"2,483","29,817","1,800",0,"34,100",Active
EMP030,Rajan Jain,VPTXQ1124K,311364291351,Sales,Sales Trainee,05-Mar-2019,61880353449,ICIC0003456,"18,000","7,200","1,600","3,900","30,700","1,800",0,200,403,"2,403","28,297","1,800",0,"32,500",Active
EMP031,Dilip Dubey,DUXNU7891F,953613951874,IT,CTO,16-Oct-2018,21438623285,UTIB0004567,"123,000","49,200","1,600","18,900","192,700","1,800",0,200,"36,437","38,437","154,263","1,800",0,"194,500",On Leave
EMP032,Geeta Agarwal,QPJAT2007U,483469998503,IT,CTO,04-Sep-2018,67815736341,HDFC0002345,"141,000","56,400","1,600","29,400","228,400","1,800",0,200,"47,147","49,147","179,253","1,800",0,"230,200",Active
EMP033,Prakash Patel,UOZQO7605G,747726696240,IT,IT Manager,23-Nov-2022,12593203027,PUNB0006789,"94,000","37,600","1,600","17,700","150,900","1,800",0,200,"23,897","25,897","125,003","1,800",0,"152,700",Active
EMP034,Sima Nair,MOIIV1845F,620896532932,IT,Senior Developer,13-Oct-2021,60613490954,UTIB0004567,"67,000","26,800","1,600","16,000","111,400","1,800",0,200,"12,047","14,047","97,353","1,800",0,"113,200",Active
EMP035,Jyoti Das,DKFCH8799R,474533189735,IT,Senior Developer,24-Aug-2022,84484912534,HDFC0002345,"66,000","26,400","1,600","15,600","109,600","1,800",0,200,"11,507","13,507","96,093","1,800",0,"111,400",Active
EMP036,Shanti Malhotra,KQQDQ9579K,616690673519,IT,Developer,20-May-2023,72471100546,ICIC0003456,"51,000","20,400","1,600","7,000","80,000","1,800",0,200,"5,223","7,223","72,777","1,800",0,"81,800",Active
EMP037,Vinod Jain,QUVWX2707V,689804271765,IT,Developer,07-Jul-2018,47238737564,UTIB0004567,"47,000","18,800","1,600","5,700","73,100","1,800",0,200,"3,843","5,843","67,257","1,800",0,"74,900",Active
EMP038,Bharat Bose,USJRD2423W,084222476557,IT,Developer,28-Nov-2019,22332916442,KKBK0005678,"54,000","21,600","1,600","11,000","88,200","1,800",0,200,"6,863","8,863","79,337","1,800",0,"90,000",Active
EMP039,Uma Desai,QAFHP2779M,499655539684,IT,IT Support,04-Sep-2023,09332277634,UTIB0004567,"32,000","12,800","1,600","7,600","54,000","1,800",0,200,"1,568","3,568","50,432","1,800",0,"55,800",Active
EMP040,Ajay Chatterjee,FFRKC3055X,507452719827,IT,IT Support,27-Mar-2020,92277991322,SBIN0001234,"31,000","12,400","1,600","5,300","50,300","1,800",0,200,"1,383","3,383","46,917","1,800",0,"52,100",Active
EMP041,Geeta Ghosh,QFDCF5245S,497465679242,HR,HR Head,24-Mar-2020,55928225349,ICIC0003456,"102,000","40,800","1,600","17,700","162,100","1,800",0,200,"27,257","29,257","132,843","1,800",0,"163,900",Active
EMP042,Rekha Reddy,EBLHY4651Y,123374692631,HR,HR Manager,09-Sep-2022,86199677294,HDFC0002345,"72,000","28,800","1,600","10,500","112,900","1,800",0,200,"12,497","14,497","98,403","1,800",0,"114,700",Active
EMP043,Rajan Kapoor,JTLLK4749L,614282628043,HR,HR Manager,25-Jun-2020,64201795997,HDFC0002345,"65,000","26,000","1,600","15,900","108,500","1,800",0,200,"11,177","13,177","95,323","1,800",0,"110,300",Active
EMP044,Arun Desai,ZPBBI5424X,097885554356,HR,HR Manager,15-Mar-2024,61786793772,ICIC0003456,"64,000","25,600","1,600","8,600","99,800","1,800",0,200,"9,183","11,183","88,617","1,800",0,"101,600",Active
EMP045,Mukesh Bansal,GPYDQ4878B,950405774567,HR,HR Executive,13-Apr-2019,75780969774,KKBK0005678,"39,000","15,600","1,600","6,500","62,700","1,800",0,200,"2,003","4,003","58,697","1,800",0,"64,500",Active
EMP046,Ritu Dubey,IEOLU7984J,080242263467,HR,Recruiter,23-Mar-2022,81721068759,PUNB0006789,"34,000","13,600","1,600","5,000","54,200","1,800",0,200,"1,578","3,578","50,622","1,800",0,"56,000",Active
EMP047,Sonal Kumar,HLHYF3184M,088204175195,HR,Recruiter,15-Jan-2024,12973942054,SBIN0001234,"36,000","14,400","1,600","8,700","60,700","1,800",0,200,"1,903","3,903","56,797","1,800",0,"62,500",On Leave
EMP048,Uma Ghosh,KZCJI0962W,063492631251,HR,Recruiter,29-Dec-2019,67088634119,HDFC0002345,"40,000","16,000","1,600","8,500","66,100","1,800",0,200,"2,443","4,443","61,657","1,800",0,"67,900",Active
EMP049,Santosh Chatterjee,YUAFK3860A,380890355108,HR,HR Assistant,13-Apr-2019,91498516634,UTIB0004567,"25,000","10,000","1,600","3,000","39,600","1,800",0,200,848,"2,848","36,752","1,800",0,"41,400",Active
EMP050,Harish Chandra,SMTWF2192C,772622737455,Operations,COO,28-Mar-2021,33178776790,HDFC0002345,"132,000","52,800","1,600","29,700","216,100","1,800",0,200,"43,457","45,457","170,643","1,800",0,"217,900",Active
